日期,时间,类别,名称,金额(?),数量,支付方式,渠道,备注,大于50,大于100,大于500,大于1000
2020/10/22,19:26,晚餐,快餐,15,1次,微信,亮哥代付,,15.00 ,15.00 ,15.00 ,15.00 
2020/10/23,11:19,午餐,卤肉饭拼宫保鸡丁蒸蛋套餐,19.9,1份,支付宝,美团外卖APP,,19.90 ,19.90 ,19.90 ,19.90 
2020/10/23,11:21,午餐,永和大王黑椒牛柳拼宫保鸡丁,1.49,1次,美团月付,美团外卖APP,,1.49 ,1.49 ,1.49 ,1.49 
2020/10/23,18:04,晚餐,酸汤臊子面,16.04,1份,支付宝,美团外卖APP,,16.04 ,16.04 ,16.04 ,16.04 
2020/10/24,10:42,网购,科大讯飞录音笔SR101讯飞录音专业高清降噪智能录音转文字便携小,50,1次,支付宝-花呗,淘宝APP,,50.00 ,50.00 ,50.00 ,50.00 
2020/10/24,11:22,午餐,鸡蛋炒刀削,15.5,1份,支付宝,美团外卖APP,,15.50 ,15.50 ,15.50 ,15.50 
2020/10/24,11:28,午餐,烤冷面,6.8,1份,支付宝,美团外卖APP,,6.80 ,6.80 ,6.80 ,6.80 
2020/10/24,11:28,饮品,奶茶,6.8,1份,支付宝,美团外卖APP,,6.80 ,6.80 ,6.80 ,6.80 
2020/10/24,11:31,会员,超级吃货卡订单：3000000008330554210,1.99,1次,支付宝,饿了么APP,,1.99 ,1.99 ,1.99 ,1.99 
2020/10/24,17:24,晚餐,周黑鸭,19.4,1份,支付宝,美团外卖APP,,19.40 ,19.40 ,19.40 ,19.40 
2020/10/24,21:28,台球,打台球,82,2小时,支付宝,港龙桌球城(上沙店),总价：82，大哥：40，我：42,82.00 ,82.00 ,82.00 ,82.00 
2020/10/25,10:30,电影,金刚川,20.9,1份,支付宝,美团APP,,20.90 ,20.90 ,20.90 ,20.90 
2020/10/25,10:38,午餐,肠粉,17.8,1份,支付宝,美团外卖APP,,17.80 ,17.80 ,17.80 ,17.80 
2020/10/25,19:17,晚餐,秦都面馆外卖订单,17,1次,支付宝,饿了么APP,,17.00 ,17.00 ,17.00 ,17.00 
2020/10/26,10:00,超市,5号电池,6.5,1次,支付宝-花呗,7-Eleven便利店,,6.50 ,6.50 ,6.50 ,6.50 
2020/10/26,11:25,午餐,韩国料理,14.8,1份,支付宝,美团外卖APP,,14.80 ,14.80 ,14.80 ,14.80 
2020/10/26,18:35,晚餐,鸡蛋炒刀削,19,1次,支付宝,公司附近兰州拉面门店,,19.00 ,19.00 ,19.00 ,19.00 
2020/10/27,1:13,网购,滴露健康沐浴露沐浴乳浴液 薄荷冰爽950g家庭装夏 清凉男士泡沫 等多件,0,1次,支付宝,淘宝APP,总价：148.79，蒋：58.725，我：90.065,0.00 ,0.00 ,0.00 ,0.00 
,,,,,,,,,,,,
,,,总,5105.92,,,,,13,7,0,1
,,,最大,1050,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
